019-12-25T23:42:29.081+07:00	INFO 	R1 receive event <-495:Evt,8F202,3,R1:B1,P1:1,GetWaf,^1 is now extended into ^2 during ^3 command>32
2019-12-25T23:44:42.522+07:00	INFO 	P1 receive event <-485:Evt,DF012,Clamped Off>9D
2019-12-25T23:44:42.527+07:00	INFO 	P1 receive event <-486:Evt,DF013,Unclamped On>24
2019-12-25T23:44:42.584+07:00	INFO 	P1 receive message <221:Res,0,OK>1B
2019-12-25T23:44:42.617+07:00	INFO 	R1 send <941:Init>6C
2019-12-25T23:44:42.646+07:00	INFO 	R1 receive message <941:Ack,0>43
2019-12-25T23:44:43.965+07:00	INFO 	R1 receive message <941:Res,0>5E
2019-12-25T23:44:43.994+07:00	INFO 	R1 send <943:Home>63
2019-12-25T23:44:44.029+07:00	INFO 	R1 receive message <943:Ack,0>45
2019-12-25T23:44:46.267+07:00	INFO 	R1 receive message <943:Res,0>60
2019-12-25T23:44:46.271+07:00	INFO 	R1 send <946:QryCpos,R1:B1,Symbl>3D
2019-12-25T23:44:46.324+07:00	INFO 	R1 receive message <946:Ack,0>48
2019-12-25T23:44:46.350+07:00	INFO 	R1 receive message <946:Res,P1:1,Safe>CA
2019-12-25T23:44:46.385+07:00	INFO 	P1 send <231:Home>59
2019-12-25T23:44:46.416+07:00	INFO 	P1 receive message <231:Ack,0>3B
2019-12-25T23:44:46.445+07:00	INFO 	P1 receive event <-487:Evt,3FE01,Loadport Requires Homing>E7
2019-12-25T23:44:46.466+07:00	INFO 	P1 receive event <-488:Evt,DF011,Clamped On>41
2019-12-25T23:44:46.470+07:00	INFO 	P1 receive event <-489:Evt,DF014,Unclamped Off>86
2019-12-25T23:44:47.134+07:00	INFO 	P1 receive event <-490:Evt,DF012,Clamped Off>99
2019-12-25T23:44:47.138+07:00	INFO 	P1 receive event <-491:Evt,DF013,Unclamped On>20
2019-12-25T23:44:47.199+07:00	INFO 	P1 receive message <231:Res,0,OK>1C
2019-12-25T23:44:47.231+07:00	INFO 	P1 send <233:Load,Open>10
2019-12-25T23:44:47.260+07:00	INFO 	P1 receive message <233:Ack,0>3D
2019-12-25T23:44:47.297+07:00	INFO 	P1 receive event <-492:Evt,DF024,FOUP Door Chucked>72
2019-12-25T23:44:47.321+07:00	INFO 	P1 receive event <-493:Evt,DF031,PDO Docked Off>34
2019-12-25T23:44:47.325+07:00	INFO 	P1 receive event <-494:Evt,DF021,FOUP Door Latched Off>AA
2019-12-25T23:44:47.329+07:00	INFO 	P1 receive event <-495:Evt,DF022,FOUP Door Unlatched On>31
2019-12-25T23:44:47.377+07:00	INFO 	P1 receive event <-496:Evt,DF011,Clamped On>40
2019-12-25T23:44:47.381+07:00	INFO 	P1 receive event <-497:Evt,DF014,Unclamped Off>85
2019-12-25T23:44:47.923+07:00	INFO 	P1 receive event <-498:Evt,DF018,Undocked Off>1E
2019-12-25T23:44:48.392+07:00	INFO 	P1 receive event <-499:Evt,DF015,Docked On>DB
2019-12-25T23:44:48.833+07:00	INFO 	P1 receive event <-500:Evt,DF030,PDO Docked On>CA
2019-12-25T23:44:48.884+07:00	INFO 	P1 receive event <-501:Evt,DF031,PDO Docked Off>2A
2019-12-25T23:44:52.489+07:00	INFO 	P1 receive event <-502:Evt,DF032,PDO Undocked On>B1
2019-12-25T23:44:52.523+07:00	INFO 	P1 receive event <-503:Evt,DF035,PDO Raised Off>3E
2019-12-25T23:44:55.366+07:00	INFO 	P1 receive event <-504:Evt,DF036,POD Lowered On>5C
2019-12-25T23:44:55.370+07:00	INFO 	P1 receive event <-505:Evt,DF040,Mapper in safe location>3A
2019-12-25T23:44:56.022+07:00	INFO 	P1 receive message <233:Res,0,OK>1E
2019-12-25T23:44:56.053+07:00	INFO 	P1 send <243:GetMap>11
